
name                       ncalls nranks mean_time   std_dev   wallmax (rank  )   wallmin (rank  )
total                         240    240   278.474     0.415 69619.023 (   228) 69617.312 (   123)
set_atm_comp_driver           240    240     3.942     0.000     3.943 (    16)     3.942 (   119)
set_dynamics                  240    240     0.001     0.000     0.001 (     0)     0.001 (   129)
set_physics                   240    240     0.000     0.000     0.000 (    24)     0.000 (     8)
set_phy_main                  240    240     0.000     0.000     0.000 (    24)     0.000 (     2)
set_output                    240    240     0.002     0.000     0.002 (    24)     0.001 (     0)
ini_atm_comp_driver           240    240   141.861     0.001   141.863 (     1)   141.860 (   144)
ini_dynamics                  240    240     0.833     0.001     0.835 (    91)     0.827 (     0)
dyn_edgepack_ini              240    240     0.002     0.000     0.002 (    82)     0.001 (    54)
dyn_exchange_ini              240    240     0.000     0.000     0.000 (    52)     0.000 (    17)
dyn_edgeunpack_ini            240    240     0.001     0.000     0.001 (    82)     0.000 (    41)
ini_physics                   240    240    71.510     0.002    71.515 (     6)    71.508 (    92)
ini_phy_main                  240    240    71.510     0.002    71.515 (     6)    71.508 (    92)
ini_phy_input                 240    240    69.631     0.000    69.632 (    10)    69.630 (   190)
run_phy_input                 240    240     1.526     0.000     1.526 (    14)     1.526 (   203)
ini_io_system                 240    240     0.047     0.049     0.214 (    23)     0.029 (    83)
write_io_system(ini)          240    240    26.573     0.100    26.666 (    33)    26.254 (    23)
state_print               1.0e+06    240  2328.790   402.578  3175.019 (   137)  1136.286 (    14)
ini_coupling                  240    240     0.000     0.000     0.000 (    20)     0.000 (     0)
exchange_cpl              1.0e+06    240     0.001     0.000     0.002 (     0)     0.001 (   163)
run_atm_comp_driver       1.0e+06    240 69472.094     0.404 69472.656 (   217) 69471.094 (   120)
run_dynamics              1.0e+06    240   219.475   117.886 55055.434 (    48) 54518.656 (   137)
update_dyn_output(run)    1.0e+06    240     0.806     0.023     0.882 (     0)     0.761 (    48)
run_physics               1.0e+06    240    48.800   411.703 13686.592 (    13) 11289.395 (   225)
run_phy_main              1.0e+06    240 12199.964   411.704 13686.582 (    13) 11289.386 (   225)
dyn_phy_cpl1              1.0e+06    240  1361.437   158.905  1733.223 (    11)  1131.186 (    88)
phy_main_interface        1.0e+06    240  8658.323   567.682 10486.041 (    14)  7076.494 (    42)
phy_main_driver_ini       1.0e+06    240     0.123     0.027     0.183 (    15)     0.061 (   135)
phy_main_driver           1.0e+06    240  8287.580   553.959 10217.801 (    14)  6811.517 (    42)
dyn_phy_cpl2              1.0e+06    240  1934.298   461.052  3180.844 (    42)  1193.571 (   225)
update_phy_output(run)    1.0e+06    240     8.675     1.558    13.900 (    23)     6.574 (   144)
update_dyn_restart(run)   1.0e+06    240     0.002     0.000     0.002 (    65)     0.001 (     3)
update_phy_restart(run)   1.0e+06    240     0.001     0.000     0.001 (    70)     0.001 (   167)
write_io_system(run)      1.0e+06    240    46.645     0.001    46.657 (     2)    46.639 (     0)
fin_atm_comp_driver           240    240     0.384     0.056     0.450 (   189)     0.283 (   123)
fin_dynamics                  240    240     0.000     0.000     0.000 (     4)     0.000 (     0)
fin_physics                   240    240     0.100     0.015     0.124 (    17)     0.070 (   123)
fin_phy_main                  240    240     0.100     0.015     0.124 (    17)     0.070 (   123)
fin_io_system                 240    240     0.001     0.003     0.022 (   144)     0.000 (   150)

