CPU MatrixCalcul_fromCtrlToSpec_inv MultiplayInvCoeff_fromInvLapSpec SpecToCtrl_inv_fromInvLapSpec matrix_cal_sum (C+D+E) Mpi_AllReduce_fromCtrlToSpec_inv total
432	22.362	0.019	4.653	27.034	1.522	28.556
864	11.165	0.019	2.113	13.297	1.029	14.326
1296	7.475	0.019	0.999	8.493	0.799	9.292
1728	5.606	0.019	0.705	6.33	0.748	7.078
2160	4.465	0.019	0.541	5.025	0.809	5.834
2592	3.753	0.019	0.45	4.222	0.897	5.119
3024	3.21	0.019	0.385	3.614	0.725	4.339
3456	2.826	0.019	0.336	3.181	0.535	3.716
3888	2.506	0.019	0.297	2.822	0.639	3.461
4320	2.231	0.019	0.265	2.515	0.601	3.116
4752	2.055	0.019	0.242	2.316	0.568	2.884
5184	1.883	0.019	0.223	2.125	0.566	2.691
